,titles,area,city,company,job_type,career_level,experience_needed,skills_and_tools,urls
54,Business Analyst -(International IT Firm ) KZBA,Cairo,Egypt,Pillars,Full Time,Experienced,8 - 11 Yrs of Exp,Business Analysis | Analysis | Computer Science | Information Technology (IT) | Communication skills | Quality Assurance,https://wuzzuf.net/jobs/p/bOUMF5ewIVUg-Business-Analyst--International-IT-Firm-KZBA-Pillars-Cairo-Egypt?o=55&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
55,Financial Data Analyst - (French/Russian/German/Italy) Speakers,Heliopolis,Cairo,World Vest Base (WVB ),Full Time,Entry Level,0 - 2 Yrs of Exp,Alsun | Accounting | English | french | Russian | turkish | Analysis | Financial Analysis,https://wuzzuf.net/jobs/p/ucnvtntSpmhM-Financial-Data-Analyst---FrenchRussianGermanItaly-Speakers-World-Vest-Base-WVB-Cairo-Egypt?o=56&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
56,Data analyst,Qalyub,Qalubia,Confidential,Full Time,Experienced,2 - 4 Yrs of Exp,Analysis | Commerce | Data Analysis | Software | Analyst | Finance | Data Analyst | Accounting,https://wuzzuf.net/jobs/p/SCmCjTNId6GC-Data-analyst-Qalubia-Egypt?o=57&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
57,Senior Data Engineer,Cairo,Egypt,Edentech,Full Time,Experienced,5 - 12 Yrs of Exp,Information Technology (IT) | Computer Science | Software Development | Engineering | Programming | Communication skills | Java | Software,https://wuzzuf.net/jobs/p/egXP5qBhk2WO-Senior-Data-Engineer-Edentech-Cairo-Egypt?o=58&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
58,Senior Data Insights Specialist,Cairo,Egypt,WUZZUF,Full Time | Work From Home,Experienced,3 - 5 Yrs of Exp,Analysis | Business Intelligence | Communication | Communication skills | Computer Science | Data Analysis | SQL,https://wuzzuf.net/jobs/p/QewilVmKKm8a-Senior-Data-Insights-Specialist-WUZZUF-Cairo-Egypt?o=59&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
59,Data Analysis Instructor (Excel - Power BI),Nasr City,Cairo,EpsilonAI,Full Time | Part Time | Freelance / Project,Entry Level,1+ Yrs of Exp,Analysis | business | Business Intelligence | Data Analysis | Computer Science | Power BI | SQL,https://wuzzuf.net/jobs/p/oOKRpUGGzzuO-Data-Analysis-Instructor-Excel---Power-BI-EpsilonAI-Cairo-Egypt?o=60&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
60,Data Scientist,Sheikh Zayed,Giza,Seoudi Supermarket,Full Time,Entry Level,1 - 4 Yrs of Exp,Data Science | Programming | Machine Learning | Python | Data Analytics | Computer Science | Information Technology (IT),https://wuzzuf.net/jobs/p/yvKLvGcoRMNa-Data-Scientist-Seoudi-Supermarket-Giza-Egypt?o=61&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
61,Business Analyst - Call Center,Maadi,Cairo,Sykes Enterprises,Full Time | Work From Home,Entry Level,1 - 3 Yrs of Exp,Analysis | Analyst | business | Business Analyst | Business Analysis | Process Improvement | continuous improvement | Information Technology (IT),https://wuzzuf.net/jobs/p/YeNHGaErDRo7-Business-Analyst---Call-Center-Sykes-Enterprises-Cairo-Egypt?o=62&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
62,Power BI Analyst,Nasr City,Cairo,Dynamicslink,Full Time,Entry Level,1 - 3 Yrs of Exp,Power BI | Analyzing data | Information Technology (IT) | Data | SQL | Computer Science | Telecom Engineering,https://wuzzuf.net/jobs/p/9KaMGqzG1270-Power-BI-Analyst-Dynamicslink-Cairo-Egypt?o=63&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
63,Senior Business Analyst,New Cairo,Cairo,BI-Technologies,Full Time,Experienced,5+ Yrs of Exp,Business Analysis | business | Business Development | Computer Science | Information Technology (IT) | Data | Management,https://wuzzuf.net/jobs/p/uapZJVBC14fn-Senior-Business-Analyst-BI-Technologies-Cairo-Egypt?o=64&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
